No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
1,16263,9/9/2014,1:00:02 PM,9/9/2014,6:00:02 AM,Globalstar,9/9/2014,1:05:56 PM,3789013,911458,5032196,52.4307658,13.5256821,31.64,1.8,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,26,33399764.465,5809973.243,N/A,N/A
2,16263,9/9/2014,2:00:04 PM,9/9/2014,7:00:04 AM,Globalstar,9/9/2014,2:00:34 PM,3789007,911464,5032202,52.4308303,13.5257885,33.70,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,29,33399771.845,5809980.262,N/A,N/A
3,16263,9/9/2014,3:00:17 PM,9/9/2014,8:00:17 AM,Globalstar,9/9/2014,3:00:46 PM,3789002,911452,5032204,52.4308958,13.5256342,30.61,2.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,23,33399761.501,5809987.770,N/A,N/A
4,16263,9/9/2014,4:00:33 PM,9/9/2014,9:00:33 AM,Globalstar,9/9/2014,4:01:02 PM,3789023,911467,5032230,52.4308679,13.5257764,65.80,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,25,33399771.105,5809984.462,N/A,N/A
5,16263,9/9/2014,5:00:12 PM,9/9/2014,10:00:12 AM,Globalstar,9/9/2014,5:00:45 PM,3789010,911462,5032200,52.4308018,13.5257496,33.60,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,19,33399769.136,5809977.157,N/A,N/A
6,16263,9/9/2014,6:00:32 PM,9/9/2014,11:00:32 AM,Globalstar,9/9/2014,6:01:02 PM,3789008,911466,5032208,52.4308529,13.5258136,39.33,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,18,33399773.606,5809982.743,N/A,N/A
7,16263,9/9/2014,7:00:10 PM,9/9/2014,12:00:10 PM,Globalstar,9/9/2014,7:00:40 PM,3788981,911436,5032185,52.4309638,13.5254777,0.82,2.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,17,33399751.016,5809995.548,N/A,N/A
8,16263,9/9/2014,8:00:33 PM,9/9/2014,1:00:33 PM,Globalstar,9/9/2014,8:01:02 PM,3789012,911462,5032208,52.4308318,13.5257427,41.13,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,17,33399768.736,5809980.501,N/A,N/A
9,16263,9/9/2014,9:01:22 PM,9/9/2014,2:01:22 PM,Globalstar,9/9/2014,9:01:53 PM,3789037,911473,5032227,52.4307445,13.5258140,72.58,1.8,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,16,33399773.383,5809970.687,N/A,N/A
10,16263,9/9/2014,9:31:20 PM,9/9/2014,2:31:20 PM,Globalstar,9/9/2014,9:31:50 PM,3789000,911458,5032211,52.4309380,13.5257268,35.82,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,16,33399767.895,5809992.336,N/A,N/A
11,16263,9/9/2014,10:01:20 PM,9/9/2014,3:01:20 PM,Globalstar,9/9/2014,10:01:50 PM,3789009,911456,5032224,52.4309503,13.5256673,51.18,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,16,33399763.875,5809993.779,N/A,N/A
12,16263,9/9/2014,10:31:19 PM,9/9/2014,3:31:19 PM,Globalstar,9/9/2014,10:31:49 PM,3789001,911446,5032223,52.4310169,13.5255518,44.22,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,16,33399756.179,5810001.345,N/A,N/A
13,16263,9/9/2014,11:01:34 PM,9/9/2014,4:01:34 PM,Globalstar,9/9/2014,11:02:04 PM,3789002,911451,5032213,52.4309468,13.5256199,37.60,2.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,15,33399760.645,5809993.459,N/A,N/A
14,16263,9/9/2014,11:32:03 PM,9/9/2014,4:32:03 PM,Globalstar,9/9/2014,11:32:27 PM,3789002,911458,5032197,52.4308475,13.5257199,25.91,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,15,33399767.222,5809982.273,N/A,N/A
15,16263,9/10/2014,12:01:19 AM,9/9/2014,5:01:19 PM,Globalstar,9/10/2014,12:01:49 AM,3789018,911461,5032274,52.4311536,13.5257078,96.86,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,15,33399767.092,5810016.335,N/A,N/A
16,16263,9/10/2014,12:31:31 AM,9/9/2014,5:31:31 PM,Globalstar,9/10/2014,12:32:00 AM,3788952,911432,5032184,52.4311658,13.5255202,-17.74,1.8,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,15,33399754.366,5810017.958,N/A,N/A
17,16263,9/10/2014,1:01:21 AM,9/9/2014,6:01:21 PM,Globalstar,9/10/2014,1:01:50 AM,3788949,911420,5032175,52.4311573,13.5253590,-28.36,1.8,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,15,33399743.386,5810017.231,N/A,N/A
18,16263,9/10/2014,1:31:25 AM,9/9/2014,6:31:25 PM,Globalstar,9/10/2014,1:31:55 AM,3788988,911450,5032192,52.4309304,13.5256537,12.51,1.8,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,15,33399762.908,5809991.584,N/A,N/A
19,16263,9/10/2014,2:01:26 AM,9/9/2014,7:01:26 PM,Globalstar,9/10/2014,2:01:56 AM,3789017,911451,5032222,52.4308922,13.5255683,53.62,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,15,33399757.015,5809987.462,N/A,N/A
20,16263,9/10/2014,2:31:32 AM,9/9/2014,7:31:32 PM,Globalstar,9/10/2014,2:32:02 AM,3789083,911462,5032304,52.4308661,13.5254986,159.31,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,14,33399752.217,5809984.656,N/A,N/A
21,16263,9/10/2014,4:00:08 AM,9/9/2014,9:00:08 PM,Globalstar,9/10/2014,4:00:35 AM,3789016,911459,5032216,52.4308530,13.5256861,49.41,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,14,33399764.934,5809982.930,N/A,N/A
22,16263,9/10/2014,5:00:13 AM,9/9/2014,10:00:13 PM,Globalstar,9/10/2014,5:00:45 AM,3789006,911464,5032194,52.4307933,13.5257919,26.76,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,14,33399771.995,5809976.152,N/A,N/A
23,16263,9/10/2014,6:00:21 AM,9/9/2014,11:00:21 PM,Globalstar,9/10/2014,6:00:48 AM,3789001,911466,5032226,52.4310000,13.5258377,49.45,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,15,33399775.576,5809999.071,N/A,N/A
24,16263,9/10/2014,7:00:13 AM,9/10/2014,12:00:13 AM,Globalstar,9/10/2014,7:00:42 AM,3788998,911457,5032243,52.4311289,13.5257194,59.86,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,16,33399767.824,5810013.573,N/A,N/A
25,16263,9/10/2014,4:00:10 PM,9/10/2014,9:00:10 AM,Globalstar,9/10/2014,4:00:39 PM,3789044,911454,5032193,52.4305414,13.5255183,47.07,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,18,33399752.822,5809948.505,N/A,N/A
26,16263,9/10/2014,4:30:46 PM,9/10/2014,9:30:46 AM,Globalstar,9/10/2014,4:31:16 PM,3789019,911471,5032222,52.4308451,13.5258473,57.66,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,19,33399775.876,5809981.829,N/A,N/A
27,16263,9/10/2014,5:00:41 PM,9/10/2014,10:00:41 AM,Globalstar,9/10/2014,5:01:12 PM,3789033,911455,5032244,52.4308953,13.5255704,81.12,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,17,33399757.168,5809987.801,N/A,N/A
28,16263,9/10/2014,5:30:47 PM,9/10/2014,10:30:47 AM,Globalstar,9/10/2014,5:31:15 PM,3789021,911475,5032227,52.4308520,13.5258976,63.38,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,15,33399779.311,5809982.524,N/A,N/A
29,16263,9/10/2014,6:00:47 PM,9/10/2014,11:00:47 AM,Globalstar,9/10/2014,6:01:15 PM,3789035,911455,5032209,52.4306897,13.5255636,54.56,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,13,33399756.234,5809964.940,N/A,N/A
30,16263,9/10/2014,6:30:41 PM,9/10/2014,11:30:41 AM,Globalstar,9/10/2014,6:31:11 PM,3789022,911468,5032207,52.4307471,13.5257941,47.12,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,13,33399772.037,5809971.006,N/A,N/A
31,16263,9/10/2014,7:00:41 PM,9/10/2014,12:00:41 PM,Globalstar,9/10/2014,7:01:11 PM,3789016,911465,5032221,52.4308704,13.5257718,54.23,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,12,33399770.804,5809984.746,N/A,N/A
32,16263,9/10/2014,7:30:43 PM,9/10/2014,12:30:43 PM,Globalstar,9/10/2014,7:31:13 PM,3789015,911450,5032219,52.4308913,13.5255609,49.92,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,12,33399756.508,5809987.370,N/A,N/A
33,16263,9/10/2014,8:00:47 PM,9/10/2014,1:00:47 PM,Globalstar,9/10/2014,8:01:13 PM,3788958,911495,5032174,52.4309645,13.5264001,-13.12,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.60,0.00,12,33399813.730,5809994.349,N/A,N/A
34,16263,9/10/2014,8:30:42 PM,9/10/2014,1:30:42 PM,Globalstar,9/10/2014,8:31:12 PM,3788977,911462,5032220,52.4311400,13.5258631,29.89,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.60,0.00,12,33399777.617,5810014.606,N/A,N/A
35,16263,9/10/2014,9:00:47 PM,9/10/2014,2:00:47 PM,Globalstar,9/10/2014,9:01:15 PM,3789016,911455,5032218,52.4308706,13.5256289,50.43,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,11,33399761.086,5809984.969,N/A,N/A
36,16263,9/10/2014,9:30:47 PM,9/10/2014,2:30:47 PM,Globalstar,9/10/2014,9:31:12 PM,3789018,911456,5032235,52.4309482,13.5256363,65.23,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,11,33399761.767,5809993.593,N/A,N/A
37,16263,9/10/2014,10:00:41 PM,9/10/2014,3:00:41 PM,Globalstar,9/10/2014,10:01:12 PM,3788963,911448,5032158,52.4309205,13.5257111,-29.54,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.60,0.00,10,33399766.787,5809990.411,N/A,N/A
38,16263,9/11/2014,4:00:05 AM,9/10/2014,9:00:05 PM,Globalstar,9/11/2014,4:00:36 AM,3789005,911470,5032192,52.4307793,13.5258811,25.44,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,11,33399778.028,5809974.468,N/A,N/A
39,16263,9/11/2014,4:00:10 PM,9/11/2014,9:00:10 AM,Globalstar,9/11/2014,4:00:40 PM,3789094,911457,5032211,52.4302887,13.5253893,91.41,2.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,20,33399743.476,5809920.586,N/A,N/A
40,16263,9/12/2014,4:00:07 AM,9/11/2014,9:00:07 PM,Globalstar,9/12/2014,4:00:37 AM,3788989,911462,5032161,52.4307336,13.5258218,-9.76,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,12,33399773.890,5809969.465,N/A,N/A
41,16263,9/12/2014,4:00:32 PM,9/12/2014,9:00:32 AM,Globalstar,9/12/2014,4:01:03 PM,3789016,911467,5032218,52.4308506,13.5258004,52.14,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,18,33399772.702,5809982.508,N/A,N/A
42,16263,9/13/2014,4:00:32 AM,9/12/2014,9:00:32 PM,Globalstar,9/13/2014,4:01:02 AM,3789001,911460,5032195,52.4308401,13.5257520,24.02,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,16,33399769.383,5809981.409,N/A,N/A
43,16263,9/13/2014,4:00:32 PM,9/13/2014,9:00:32 AM,Globalstar,9/13/2014,4:01:03 PM,3789016,911468,5032218,52.4308489,13.5258147,52.28,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,19,33399773.670,5809982.303,N/A,N/A
44,16263,9/14/2014,4:00:36 AM,9/13/2014,9:00:36 PM,Globalstar,9/14/2014,4:01:02 AM,3789001,911460,5032199,52.4308620,13.5257520,27.19,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,15,33399769.432,5809983.847,N/A,N/A
45,16263,9/14/2014,4:00:32 PM,9/14/2014,9:00:32 AM,Globalstar,9/14/2014,4:01:02 PM,3789010,911466,5032211,52.4308555,13.5258068,42.89,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,23,33399773.144,5809983.040,N/A,N/A
46,16263,9/15/2014,4:00:32 AM,9/14/2014,9:00:32 PM,Globalstar,9/15/2014,4:01:02 AM,3789005,911459,5032200,52.4308415,13.5257239,30.21,1.2,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortality no radius,0,3.68,0.00,14,33399767.479,5809981.600,N/A,N/A
47,16263,2/16/2016,4:02:32 AM,2/15/2016,8:02:32 PM,Globalstar,2/16/2016,4:08:26 AM,-2232820,-3083553,5101488,53.4515068,-125.9085323,1073.85,3.0,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,126,3.68,0.00,0,10306873.756,5926438.242,N/A,N/A
48,16263,2/16/2016,4:02:03 PM,2/16/2016,8:02:03 AM,Globalstar,2/16/2016,4:07:58 PM,-2232382,-3083926,5101473,53.4510998,-125.8999010,1088.76,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,117,3.68,0.00,0,10307444.890,5926369.631,N/A,N/A
49,16263,2/17/2016,4:00:18 PM,2/17/2016,8:00:18 AM,Globalstar,2/17/2016,4:00:48 PM,-2232327,-3083760,5101630,53.4531429,-125.9006954,1115.60,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,126,3.68,0.00,-1,10307401.401,5926598.989,N/A,N/A
50,16263,2/18/2016,4:00:25 AM,2/17/2016,8:00:25 PM,Globalstar,2/18/2016,4:13:39 AM,-2232236,-3083761,5101618,53.4534580,-125.8995772,1074.67,3.0,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,107,3.68,0.00,2,10307477.057,5926631.006,N/A,N/A
51,16263,2/18/2016,4:00:36 PM,2/18/2016,8:00:36 AM,Globalstar,2/18/2016,4:13:50 PM,-2232037,-3083690,5101713,53.4552234,-125.8977775,1047.26,1.4,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,126,3.68,0.00,0,10307604.501,5926822.479,N/A,N/A
52,16263,2/19/2016,4:00:31 AM,2/18/2016,8:00:31 PM,Globalstar,2/19/2016,4:01:02 AM,-2231701,-3083946,5101742,53.4553036,-125.8914217,1076.75,1.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,4,10308026.752,5926814.254,N/A,N/A
53,16263,2/19/2016,4:02:26 PM,2/19/2016,8:02:26 AM,Globalstar,2/19/2016,4:08:21 PM,-2231544,-3083745,5101910,53.4580418,-125.8912809,1059.96,2.0,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,126,3.68,0.00,-4,10308048.454,5927118.392,N/A,N/A
54,16263,2/20/2016,4:01:16 AM,2/19/2016,8:01:16 PM,Globalstar,2/20/2016,4:01:46 AM,-2230184,-3083769,5102421,53.4663883,-125.8744815,1007.53,3.6,val. GPS-3D,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,0,3.68,0.00,6,10309200.935,5928001.489,N/A,N/A
